address,rooms,price,link,date
Черняцкая Поляна - Березовая Роща,1,250.00,https://r.onliner.by/ak/apartments/273587,2017-11-22T12:20:42+0300
"Минск, улица Кольцова, 16",1,270.00,https://r.onliner.by/ak/apartments/272389,2017-11-22T12:20:04+0300
"Минск, улица Одоевского, 95",1,220.00,https://r.onliner.by/ak/apartments/275449,2017-11-22T12:18:22+0300
"Минск, улица Некрасова, 25",1,300.00,https://r.onliner.by/ak/apartments/275447,2017-11-22T12:14:06+0300
"Минск, проспект Газеты Звязда",1,200.00,https://r.onliner.by/ak/apartments/274979,2017-11-22T12:08:16+0300
"Минск, Каролинская улица, 14",1,300.00,https://r.onliner.by/ak/apartments/275438,2017-11-22T11:36:14+0300
"Минск, улица Янки Брыля, 22",1,200.00,https://r.onliner.by/ak/apartments/274791,2017-11-22T11:23:40+0300
"Минск, улица Лукьяновича, 2",1,210.00,https://r.onliner.by/ak/apartments/275432,2017-11-22T11:20:42+0300
"Минск, проспект Машерова, 18",1,200.00,https://r.onliner.by/ak/apartments/214165,2017-11-22T11:07:58+0300
"Минск, улица Якубовского, 74",1,270.00,https://r.onliner.by/ak/apartments/158513,2017-11-22T10:55:51+0300
"Минск, улица Корженевского, 9 к1",1,170.00,https://r.onliner.by/ak/apartments/275419,2017-11-22T10:44:34+0300
"Могилёв, улица Терёхина, 6",1,200.00,https://r.onliner.by/ak/apartments/238403,2017-11-22T10:39:16+0300
"Минск, улица Воронянского, 52",1,300.00,https://r.onliner.by/ak/apartments/270935,2017-11-22T10:30:52+0300
"Минск, Грибной переулок, 31",1,280.00,https://r.onliner.by/ak/apartments/272935,2017-11-22T10:20:50+0300
"Гомель, улица Мазурова",1,110.00,https://r.onliner.by/ak/apartments/275404,2017-11-22T09:51:28+0300
"Минск, Сухаревская улица, 14",1,265.00,https://r.onliner.by/ak/apartments/36569,2017-11-22T09:25:04+0300
"Минск, улица Якубова, 16",1,215.00,https://r.onliner.by/ak/apartments/92155,2017-11-22T08:42:24+0300
"Минск, Томский переулок, 35",1,250.00,https://r.onliner.by/ak/apartments/263416,2017-11-22T08:36:10+0300
"Minsk, проспект Независимости, 123 к2",1,220.00,https://r.onliner.by/ak/apartments/197249,2017-11-21T21:26:14+0300
Н9050,1,150.00,https://r.onliner.by/ak/apartments/150504,2017-11-21T20:58:34+0300
"Минск, улица Жудро, 67",1,230.00,https://r.onliner.by/ak/apartments/238617,2017-11-21T20:40:28+0300
"Минск, улица Плеханова, 117",1,220.00,https://r.onliner.by/ak/apartments/266717,2017-11-21T19:47:03+0300
"Минск, улица Якубова, 38",1,200.00,https://r.onliner.by/ak/apartments/188425,2017-11-21T19:42:41+0300
"Минск, улица Кирова, 6",1,290.00,https://r.onliner.by/ak/apartments/272630,2017-11-21T19:42:24+0300
"Минск, Партизанский проспект, 69",1,280.00,https://r.onliner.by/ak/apartments/194893,2017-11-21T19:11:56+0300
"Минск, Народная улица, 4",1,300.00,https://r.onliner.by/ak/apartments/274458,2017-11-21T18:23:04+0300
"Минск, улица Асаналиева, 4",1,170.00,https://r.onliner.by/ak/apartments/274940,2017-11-21T17:51:55+0300
"Минск, улица Бурдейного, 16",1,300.00,https://r.onliner.by/ak/apartments/274946,2017-11-21T17:51:52+0300
"Минск, улица Рафиева, 94",1,270.00,https://r.onliner.by/ak/apartments/274956,2017-11-21T17:51:49+0300
"Минск, улица Ауэзова, 6",1,260.00,https://r.onliner.by/ak/apartments/275289,2017-11-21T17:09:03+0300
"Минск, улица Космонавтов, 10",1,300.00,https://r.onliner.by/ak/apartments/151284,2017-11-21T15:27:11+0300
"Минск, улица Сурганова, 57",1,200.00,https://r.onliner.by/ak/apartments/272444,2017-11-21T15:12:52+0300
"Минск, улица Сурганова, 57",1,200.00,https://r.onliner.by/ak/apartments/275252,2017-11-21T14:49:46+0300
"Лесной, улица Александрова Н.Н., 8",1,230.00,https://r.onliner.by/ak/apartments/195709,2017-11-21T14:47:46+0300
"Минск, Грушевская улица, 73",1,220.00,https://r.onliner.by/ak/apartments/275250,2017-11-21T14:47:34+0300
"Гомель, Интернациональная улица, 48",1,100.00,https://r.onliner.by/ak/apartments/220526,2017-11-21T14:30:43+0300
"Минск, улица Пимена Панченко, 76",1,250.00,https://r.onliner.by/ak/apartments/275226,2017-11-21T13:29:46+0300
"Брест, Бернады, улица Рокоссовского, 13",1,95.00,https://r.onliner.by/ak/apartments/272527,2017-11-21T12:50:02+0300
"Minsk, улица Алеся Гаруна, 20",1,280.00,https://r.onliner.by/ak/apartments/275206,2017-11-21T12:29:07+0300
"Минск, улица Седых, 56",1,160.00,https://r.onliner.by/ak/apartments/271437,2017-11-21T11:25:05+0300
"Минск, улица Чкалова, 30",1,200.00,https://r.onliner.by/ak/apartments/275187,2017-11-21T11:11:44+0300
"Витебск, улица Путна, 9",1,90.00,https://r.onliner.by/ak/apartments/88005,2017-11-21T11:08:38+0300
"Минск, улица Кольцова, 20",1,220.00,https://r.onliner.by/ak/apartments/269901,2017-11-21T11:05:26+0300
"Беларусь, Минск, проспект Дзержинского",1,300.00,https://r.onliner.by/ak/apartments/864,2017-11-21T10:02:46+0300
"Минск, улица Пулихова, 23",1,275.00,https://r.onliner.by/ak/apartments/273179,2017-11-21T04:40:51+0300
"Минск, Волгоградская улица, 53А",1,550.00,https://r.onliner.by/ak/apartments/275055,2017-11-20T21:37:46+0300
"Боровая, Н9031, 7",1,500.00,https://r.onliner.by/ak/apartments/275051,2017-11-20T21:19:05+0300
"Минск, улица Филимонова, 14",1,250.00,https://r.onliner.by/ak/apartments/275047,2017-11-20T21:09:35+0300
"Минск, улица Герасименко, 41",1,230.00,https://r.onliner.by/ak/apartments/129075,2017-11-20T20:35:15+0300
"Минск, Грушевская улица, 71",1,250.00,https://r.onliner.by/ak/apartments/274767,2017-11-20T18:08:21+0300
"Минск, улица Алеся Бачило, 34",1,190.00,https://r.onliner.by/ak/apartments/188076,2017-11-20T17:20:39+0300
"Гомель, Новобелица, Станционная улица",1,180.00,https://r.onliner.by/ak/apartments/63145,2017-11-20T15:13:16+0300
"Минск, Сухаревская улица, 1",1,250.00,https://r.onliner.by/ak/apartments/274939,2017-11-20T15:12:33+0300
"Минск, улица Янки Брыля, 22",1,200.00,https://r.onliner.by/ak/apartments/274918,2017-11-20T13:58:31+0300
"Минск, Логойский тракт, 11",1,250.00,https://r.onliner.by/ak/apartments/274916,2017-11-20T13:57:16+0300
"Минск, переулок Одинцова",1,300.00,https://r.onliner.by/ak/apartments/71052,2017-11-20T13:29:21+0300
"Минск, улица Шугаева, 3 к3",1,230.00,https://r.onliner.by/ak/apartments/266650,2017-11-20T12:52:53+0300
"Минск, улица Яна Райниса, 15",1,250.00,https://r.onliner.by/ak/apartments/274854,2017-11-20T10:21:42+0300
"Заславль, Восточная улица, 2",1,150.00,https://r.onliner.by/ak/apartments/274842,2017-11-20T09:27:57+0300
"Минск, проспект Любимова, 12",1,210.00,https://r.onliner.by/ak/apartments/274841,2017-11-20T09:25:29+0300
"Витебск, улица Актёров Ерёменко, 15",1,350.00,https://r.onliner.by/ak/apartments/191559,2017-11-20T00:19:10+0300
"Минск, проспект Рокоссовского, 92",1,250.00,https://r.onliner.by/ak/apartments/263425,2017-11-19T23:06:19+0300
"Минск, улица Бельского, 16",1,250.00,https://r.onliner.by/ak/apartments/274789,2017-11-19T20:14:55+0300
"Минск, проспект Независимости, 87",1,300.00,https://r.onliner.by/ak/apartments/50088,2017-11-19T19:27:17+0300
"Минск, улица Плеханова, 95",1,250.00,https://r.onliner.by/ak/apartments/274786,2017-11-19T18:53:56+0300
"Минск, улица Иосифа Жиновича, 4",1,300.00,https://r.onliner.by/ak/apartments/67358,2017-11-19T16:19:16+0300
"Минск, улица Голубева, 14",1,250.00,https://r.onliner.by/ak/apartments/245141,2017-11-19T14:09:10+0300
"Минск, Козыревская улица, 70",1,260.00,https://r.onliner.by/ak/apartments/154846,2017-11-19T13:31:11+0300
